1.1.1,12/2/2006,482707
1.2.1,1/22/2007,498220
1.3,4/23/2007,531167
1.3.3,10/04/2007,581837
1.4,1/14/2008,611590
1.4.3,05/07/2008,654078
1.4.6,10/07/2008,702388
1.5,12/7/2008,723784
1.5.5,04/28/2009,769282
1.6,8/11/2009,802755
2.0,1/27/2010,899963
2.1,4/22/2010,936291
2.2,12/15/2010,1044613
2.2.5,03/18/2011,1082681
2.2.7,06/07/2011,1132981
2.3,10/3/2011,1178251
2.3.3,11/15/2011,1213289
