4.0,8/14/2009,803989
4.0.1,2009-08-14,889413
4.1a2,05/19/2010,945824
4.0.2,2010-09-09,995257
4.1.1,2011-03-20,1080575
4.1.2,2011-08-07,1153911
4.2a1,8/7/2011,1196788
0.0.0,12/2/2011,1209502
